"# CarMaker trajectory export, merged from Orientations_1.xls + Translations_2.xls"
"# Frame: ISO 8855 (X forward, Y left, Z up). Units: time=s, tx/ty/tz=m, pitch/roll/yaw=deg"
# Trailing repeated end-of-sim samples have been removed via dedup-by-time.
time_s,tx_m,ty_m,tz_m,pitch_deg,roll_deg,yaw_deg
0.000000,-3.424992,1.752412,0.000000,0.119076,0.000061,179.959644
0.010000,-3.674983,1.752588,0.000000,0.118874,0.000087,179.959658
0.020000,-3.924863,1.752760,0.000000,0.120848,0.000309,179.959712
0.030000,-4.174445,1.752919,0.000000,0.128279,0.001070,179.959972
0.040000,-4.423735,1.753053,0.000000,0.140740,0.002837,179.960655
0.050000,-4.672741,1.753146,0.000000,0.157561,0.005967,179.962007
0.060000,-4.921470,1.753191,0.000000,0.177993,0.010517,179.964220
0.070000,-5.169929,1.753188,0.000000,0.201279,0.016270,179.967362
0.080000,-5.418139,1.753139,0.000000,0.226205,0.022821,179.971406
0.090000,-5.666276,1.753053,0.000000,0.248714,0.029685,179.976296
0.100000,-5.914458,1.752942,0.000000,0.266505,0.036267,179.981787
0.110000,-6.162677,1.752820,0.000000,0.279771,0.042066,179.987634
0.120000,-6.410913,1.752697,0.000000,0.289235,0.046828,179.993617
0.130000,-6.659151,1.752576,0.000000,0.295582,0.050498,179.999614
0.140000,-6.907379,1.752460,0.000000,0.299406,0.053166,180.005502
0.150000,-7.155591,1.752347,0.000000,0.301204,0.055010,180.011239
0.160000,-7.403784,1.752235,0.000000,0.301370,0.056261,180.016785
0.170000,-7.651953,1.752120,0.000000,0.300205,0.057140,180.022127
0.180000,-7.900096,1.751999,0.000000,0.297938,0.057835,180.027304
0.190000,-8.148212,1.751869,0.000000,0.294755,0.058513,180.032317
0.200000,-8.396301,1.751727,0.000000,0.290797,0.059303,180.037221
0.210000,-8.644361,1.751569,0.000000,0.286184,0.060294,180.042057
0.220000,-8.892392,1.751393,0.000000,0.281027,0.061551,180.046838
0.230000,-9.140392,1.751198,0.000000,0.275424,0.063115,180.051619
0.240000,-9.388364,1.750981,0.000000,0.269468,0.065012,180.056441
0.250000,-9.636305,1.750740,0.000000,0.263246,0.067254,180.061345
0.260000,-9.884215,1.750473,0.000000,0.256833,0.069842,180.066359
0.270000,-10.132096,1.750180,0.000000,0.250296,0.072768,180.071536
0.280000,-10.379946,1.749858,0.000000,0.243695,0.076018,180.076891
